n,codigo_iso,control,dominio,obligacion_ley21719,tipo_vinculo,nota_explicativa
51,7.6,Trabajo en áreas seguras,7. Físicos,—,Estructural,Contribuye a las medidas de seguridad generales sin cláusula legal específica
52,7.7,Escritorio y pantalla limpios,7. Físicos,—,Estructural,Contribuye a las medidas de seguridad generales sin cláusula legal específica
53,7.8,Emplazamiento y protección de equipos,7. Físicos,—,Estructural,Contribuye a las medidas de seguridad generales sin cláusula legal específica
54,7.9,Seguridad de los activos fuera de las instalaciones,7. Físicos,—,Estructural,Contribuye a las medidas de seguridad generales sin cláusula legal específica
55,7.10,Medios de almacenamiento,7. Físicos,Eliminación segura de soportes con datos personales,Parcial,Relevante cuando el soporte contiene datos personales que deben eliminarse de forma segura
56,7.11,Servicios de suministro,7. Físicos,—,Estructural,Contribuye a las medidas de seguridad generales sin cláusula legal específica
57,7.12,Seguridad del cableado,7. Físicos,—,Estructural,Contribuye a las medidas de seguridad generales sin cláusula legal específica
58,7.13,Mantenimiento de equipos,7. Físicos,—,Estructural,Contribuye a las medidas de seguridad generales sin cláusula legal específica
59,7.14,Eliminación o reutilización segura de equipos,7. Físicos,Derecho de supresión / eliminación segura de datos,Parcial,Relevante cuando el equipo dado de baja contenía datos personales
60,8.1,Dispositivos de punto final de usuario,8. Tecnológicos,—,Estructural,Contribuye a las medidas de seguridad generales sin cláusula legal específica
61,8.2,Derechos de acceso privilegiado,8. Tecnológicos,Principio de minimización,Parcial,Restringir accesos privilegiados es relevante para datos sensibles y evaluaciones de riesgo (DPIA)
62,8.3,Restricción de acceso a la información,8. Tecnológicos,Principio de minimización,Parcial,Apoya el acceso restringido a datos personales según necesidad de conocer
63,8.4,Acceso al código fuente,8. Tecnológicos,—,Estructural,Contribuye a las medidas de seguridad generales sin cláusula legal específica
64,8.5,Autenticación segura,8. Tecnológicos,Medidas de seguridad apropiadas al riesgo,Estructural,Buena práctica general sin cláusula legal específica
65,8.6,Gestión de capacidad,8. Tecnológicos,—,Estructural,Contribuye a las medidas de seguridad generales sin cláusula legal específica
66,8.7,Protección contra malware,8. Tecnológicos,Medidas de seguridad apropiadas al riesgo,Estructural,Buena práctica general sin cláusula legal específica
67,8.8,Gestión de vulnerabilidades técnicas,8. Tecnológicos,Medidas de seguridad apropiadas al riesgo,Parcial,La ley exige medidas proporcionales al riesgo; la gestión de vulnerabilidades es evidencia directa
68,8.9,Gestión de la configuración,8. Tecnológicos,—,Estructural,Contribuye a las medidas de seguridad generales sin cláusula legal específica
69,8.10,Eliminación de información,8. Tecnológicos,Derecho de supresión y plazos de conservación,Fuerte,Corresponde directamente a la obligación de eliminar datos al vencer el plazo o ante solicitud del titular
70,8.11,Enmascaramiento de datos,8. Tecnológicos,Principio de minimización / seudonimización,Fuerte,Técnica reconocida por la ley para reducir riesgo en el tratamiento de datos personales
71,8.12,Prevención de fuga de datos,8. Tecnológicos,Prevención de brechas de seguridad,Fuerte,Control técnico directamente orientado a evitar el escenario que dispara la obligación de notificar
72,8.13,Respaldo de la información,8. Tecnológicos,Disponibilidad de datos ante solicitudes de titulares,Parcial,Relevante para responder oportunamente a solicitudes de acceso o portabilidad
73,8.14,Redundancia de las instalaciones de procesamiento de información,8. Tecnológicos,—,Estructural,Contribuye a las medidas de seguridad generales sin cláusula legal específica
74,8.15,Registro de eventos (logging),8. Tecnológicos,Trazabilidad para investigación de brechas,Parcial,Los registros de actividad son clave para reconstruir el alcance de una brecha
75,8.16,Actividades de monitoreo,8. Tecnológicos,Detección temprana de brechas,Fuerte,"Determinante para cumplir el plazo de 72 horas, que corre desde el conocimiento del incidente"
76,8.17,Sincronización de relojes,8. Tecnológicos,—,Estructural,Contribuye a las medidas de seguridad generales sin cláusula legal específica
77,8.18,Uso de programas de utilidad privilegiados,8. Tecnológicos,—,Estructural,Contribuye a las medidas de seguridad generales sin cláusula legal específica
78,8.19,Instalación de software en sistemas operativos,8. Tecnológicos,—,Estructural,Contribuye a las medidas de seguridad generales sin cláusula legal específica
79,8.20,Seguridad de las redes,8. Tecnológicos,Medidas de seguridad apropiadas al riesgo,Estructural,Buena práctica general sin cláusula legal específica
80,8.21,Seguridad de los servicios de red,8. Tecnológicos,—,Estructural,Contribuye a las medidas de seguridad generales sin cláusula legal específica
81,8.22,Segregación de redes,8. Tecnológicos,—,Estructural,Contribuye a las medidas de seguridad generales sin cláusula legal específica
82,8.23,Filtrado web,8. Tecnológicos,—,Estructural,Contribuye a las medidas de seguridad generales sin cláusula legal específica
83,8.24,Uso de criptografía,8. Tecnológicos,Medidas de seguridad apropiadas a la naturaleza de los datos,Fuerte,Ejemplo explícito de medida técnica proporcional al riesgo del tratamiento
84,8.25,Ciclo de vida de desarrollo seguro,8. Tecnológicos,Privacidad desde el diseño,Fuerte,Corresponde al enfoque de incorporar la protección de datos desde el diseño del sistema
85,8.26,Requisitos de seguridad de las aplicaciones,8. Tecnológicos,Privacidad desde el diseño,Parcial,"Apoya, junto con 8.25, el cumplimiento de privacidad por diseño"
86,8.27,Arquitectura y principios de ingeniería de sistemas seguros,8. Tecnológicos,Privacidad desde el diseño,Parcial,"Apoya, junto con 8.25, el cumplimiento de privacidad por diseño"
87,8.28,Codificación segura,8. Tecnológicos,—,Estructural,Contribuye a las medidas de seguridad generales sin cláusula legal específica
88,8.29,Pruebas de seguridad en desarrollo y aceptación,8. Tecnológicos,—,Estructural,Contribuye a las medidas de seguridad generales sin cláusula legal específica
89,8.30,Desarrollo externalizado,8. Tecnológicos,Encargados de tratamiento,Parcial,Relevante cuando el desarrollador externo accede a datos personales de producción
90,8.31,"Separación de entornos de desarrollo, prueba y producción",8. Tecnológicos,Minimización de datos reales en ambientes de prueba,Parcial,Evita exponer datos personales reales en entornos no productivos
91,8.32,Gestión de cambios,8. Tecnológicos,—,Estructural,Contribuye a las medidas de seguridad generales sin cláusula legal específica
92,8.33,Información de prueba,8. Tecnológicos,Uso de datos reales en pruebas (riesgo de exposición),Parcial,La ley exige minimizar el uso de datos reales de titulares fuera de la finalidad original
93,8.34,Protección de los sistemas de información durante las pruebas de auditoría,8. Tecnológicos,—,Estructural,Contribuye a las medidas de seguridad generales sin cláusula legal específica
